society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ss the leaf,2.0,sector 85,6934.0,28843.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,4.0,East,Relatively New,,2812.0,,,0,0,0,0,0,1,106
mittal surya vihar,0.08,sector 21,7079.0,1130.0,Carpet area: 1130 (104.98 sq.m.),2,2,2,6.0,,Old Property,,,,1130.0,0,0,0,0,0,1,0
eldeco accolade,1.0,sector 33,8043.0,12433.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,0.0,North,New Property,,,1492.0,900.0,1,0,0,0,0,1,55
paras dews,1.0,sector 106,6369.0,15701.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11.0,North-West,Relatively New,,2355.0,1535.0,1403.0,0,1,0,0,0,1,174
paras dews,1.0,sector 106,6052.0,16523.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,5.0,North-West,Relatively New,,1900.0,1305.0,1173.0,1,1,0,0,0,1,49
sare green parc,0.07,sector 92,4820.0,1452.0,Built Up area: 1556 (144.56 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),3,2,2,16.0,,Undefined,,,1556.0,1261.0,0,0,0,0,0,1,0
independent,5.8,sector 26,12837.0,4518.0,Plot area 502(419.74 sq.m.),4,4,3+,4.0,,Old Property,house,,4518.0,,0,0,0,0,0,1,38
gls arawali homes,0.02,sohna road,6035.0,331.0,Carpet area: 480.53 (44.64 sq.m.),2,2,2,9.0,East,Relatively New,,,,480.53,0,0,0,0,0,1,55
paras dews,1.0,sector 106,7581.0,13191.0,Carpet area: 1385 (128.67 sq.m.),2,2,2,5.0,West,New Property,,,,1385.0,0,0,0,0,0,1,97
indiabulls enigma,3.0,sector 110,9895.0,30318.0,Super Built up area 3830(355.82 sq.m.),5,5,3,4.0,South-West,Relatively New,,3830.0,,,0,1,0,0,1,1,125
bptp pedestal,1.0,sector 70a,9500.0,10526.0,Carpet area: 1900 (176.52 sq.m.),4,3,3,2.0,East,New Property,,,,1900.0,0,0,1,0,0,1,133
vatika gurgaon,0.08,sector 83,6746.0,1186.0,Super Built up area 1245(115.66 sq.m.),2,2,2,7.0,East,Moderately Old,,1245.0,,,0,0,0,0,0,2,157
central park resorts,1.0,sector 48,22388.0,4467.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,,Relatively New,,,,6700.0,1,1,0,1,0,0,45
breez global heights,0.02,sohna road,5329.0,375.0,Carpet area: 394 (36.6 sq.m.),1,1,1,2.0,,Relatively New,,,,394.0,0,0,0,0,0,1,21
unitech espace,7.5,sector 50,34722.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2.0,West,Moderately Old,house,,241.0,240.0,0,1,0,0,0,2,66
international city by sobha phase 2,7.0,sector 109,12963.0,5400.0,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,house,,5400.0,,0,1,0,0,0,1,154
bestech spa signature,4.0,sector 81,12571.0,31819.0,Super Built up area 4200(390.19 sq.m.)Built Up area: 3700 sq.ft. (343.74 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,6.0,South-West,New Property,,4200.0,3700.0,3500.0,1,1,0,1,1,0,49
bestech park view city,1.0,sector 48,9909.0,10092.0,Super Built up area 1776(165 sq.m.)Built Up area: 1576 sq.ft. (146.42 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,3,3+,9.0,South,Moderately Old,,1776.0,1576.0,1476.0,0,1,0,1,0,2,158
ramprastha the edge towers,1.0,sector 37d,5528.0,18090.0,Built Up area: 1990 (184.88 sq.m.),3,3,3,9.0,,Undefined,,,1990.0,,0,0,0,0,0,1,63
housing board colony,2.1,sector 28,23333.0,900.0,Plot area 100(83.61 sq.m.),8,8,3+,4.0,South-East,Moderately Old,house,,900.0,,0,0,0,0,1,2,38
independent,1.07,sector 15,11888.0,900.0,Plot area 900(83.61 sq.m.),2,2,1,1.0,,Old Property,house,,900.0,,0,1,0,0,0,1,7
sidhartha ncr greens,0.06,sector 95,5576.0,1076.0,Super Built up area 1076(99.96 sq.m.),2,2,2,14.0,,Relatively New,,1076.0,,,1,0,0,0,0,1,31
emaar gurgaon greens,1.0,sector 102,10800.0,9259.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,4,3+,9.0,North-East,Relatively New,,1650.0,1400.0,1250.0,0,1,0,1,0,2,174
shree kirpalu gi sector 52,1.0,sector 52,7631.0,13104.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,7.0,West,Relatively New,,1900.0,1800.0,1700.0,0,0,0,0,1,2,108
emaar mgf emerald floors,2.0,sector 65,15758.0,12692.0,Carpet area: 1650 (153.29 sq.m.),3,3,3+,3.0,East,Undefined,,,,1650.0,0,0,0,0,0,1,0
tulip violet,2.0,sector 69,9583.0,20870.0,Super Built up area 2087(193.89 sq.m.),4,4,2,0.0,South-East,Relatively New,,2087.0,,,0,0,0,0,0,1,157
shapoorji pallonji joyville gurugram,1.0,sector 102,9195.0,10875.0,Super Built up area 1827(169.73 sq.m.),3,3,3,1.0,North-East,Relatively New,,1827.0,,,0,0,0,0,0,1,151
oriental valley chs,1.0,sector 9a,9090.0,11001.0,Carpet area: 1650 (153.29 sq.m.),4,3,3+,8.0,,Relatively New,,,,1650.0,0,0,0,0,0,2,8
la vida by tata housing,1.0,sector 113,13989.0,7148.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1090 sq.ft. (101.26 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),2,2,3,10.0,North-East,New Property,,1276.0,1090.0,965.0,0,0,0,0,0,1,174
emaar mgf emerald floors premier,2.0,sector 65,14126.0,14158.0,Carpet area: 1975 (183.48 sq.m.),4,4,3+,2.0,South-West,Relatively New,,,,1975.0,1,1,0,0,0,0,174
ss the leaf,2.0,sector 85,7290.0,27435.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),4,4,3+,4.0,North-East,Relatively New,,2812.0,2500.0,2250.0,0,1,0,0,0,2,49
sare green parc,0.08,sector 92,6741.0,1187.0,Built Up area: 1261 (117.15 sq.m.),3,2,2,14.0,,Undefined,,,1261.0,,0,0,0,0,0,1,0
emaar mgf palm hills,1.0,sector 77,8461.0,11819.0,Super Built up area 1950(181.16 sq.m.),4,3,3,9.0,South,Relatively New,,1950.0,,,0,1,0,0,0,1,100
ss the leaf,2.0,sector 85,7574.0,26406.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,6.0,North,Relatively New,,2812.0,2600.0,2400.0,0,0,0,0,0,1,49
dlf new town heights,2.0,sector 90,7334.0,27270.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,20.0,East,Moderately Old,,2727.0,,,0,1,0,0,1,1,49
bptp terra,1.0,sector 37d,7622.0,13120.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,4,3,11.0,West,Relatively New,,2191.0,2091.0,1991.0,0,0,0,0,0,2,149
my home,0.02,sector 110,3166.0,632.0,Carpet area: 900 (83.61 sq.m.),2,1,1,2.0,,Relatively New,,,,900.0,0,0,0,0,1,1,15
independent,3.69,sector 31,23699.0,1557.0,Plot area 173(144.65 sq.m.),4,4,2,2.0,East,Moderately Old,house,,1557.0,,1,1,0,1,0,2,75
ambience caitriona,1.0,sector 24,200000.0,500.0,Built Up area: 700 (65.03 sq.m.),4,5,3,3.0,East,Undefined,,,700.0,,0,0,0,0,0,1,0
dlf the grove,5.7,sector 54,211111.0,270.0,Built Up area: 270 (25.08 sq.m.),4,4,0,1.0,,Undefined,house,,270.0,,0,0,0,0,0,1,46
vatika the seven lamps,1.0,sector 82,6969.0,14349.0,Super Built up area 1435(133.32 sq.m.),2,2,2,14.0,,Relatively New,,1435.0,,,1,0,0,0,1,1,69
m3m ikonic,1.0,sector 68,9128.0,10955.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3,3,3+,27.0,South,Relatively New,,1950.0,1845.0,1530.0,0,0,0,0,0,2,126
independent,1.2,sector 12,14184.0,846.0,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,2,2.0,North,Relatively New,house,,846.0,,0,0,0,1,0,2,7
sobha city,3.0,sector 108,15685.0,19127.0,Super Built up area 2072(192.5 sq.m.),3,3,3,12.0,North,Relatively New,,2072.0,,,0,0,0,0,0,1,99
vipul tatvam villa,22.0,sector 48,26667.0,8250.0,Plot area 1000(836.13 sq.m.),5,6,3,3.0,,Moderately Old,house,,1000.0,,0,1,0,0,0,1,54
mapsko royale ville,1.0,sector 82,8000.0,12500.0,Super Built up area 1790(166.3 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,4,2,6.0,North-West,Relatively New,,1790.0,1500.0,1400.0,0,1,0,1,0,2,174
independent,15.0,sector 26,33200.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3+,3.0,North,Moderately Old,house,,4518.0,,1,1,1,1,0,2,78
godrej nature plus,1.0,sector 33,15982.0,6257.0,Carpet area: 76.44,2,2,2,4.0,,Under Construction,,,,76.44,0,0,0,0,0,1,92
imperia the esfera,0.08,sector 37c,5449.0,1468.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,,1578.0,,1310.0,1,0,0,0,1,1,49
emaar mgf palm hills,1.0,sector 77,5382.0,18580.0,Super Built up area 2025(188.13 sq.m.),3,4,3+,5.0,South,Relatively New,,2025.0,,,0,1,0,0,1,2,167
ireo victory valley,3.0,sector 67,13000.0,23077.0,Carpet area: 2452 (227.8 sq.m.),3,3,3,19.0,South-East,Relatively New,,,,2452.0,0,1,0,0,0,1,103
ansal heights 86,1.0,sector 86,7396.0,13521.0,Super Built up area 1690(157.01 sq.m.),3,2,1,2.0,,New Property,,1690.0,,,0,0,0,0,0,1,100
bptp terra,1.0,sector 37d,7074.0,14136.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,3+,19.0,North-East,Relatively New,,2191.0,2100.0,1800.0,0,0,0,0,1,2,131
hcbs sports ville,0.02,sohna road,2666.0,750.0,Super Built up area 750(69.68 sq.m.)Built Up area: 743 sq.ft. (69.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,1,4.0,,New Property,,750.0,743.0,600.0,0,0,0,0,0,1,15
emaar mgf marbella,9.01,sector 66,16066.0,5608.0,Plot area 521,4,4,3+,3.0,North-East,Relatively New,house,,5574.7,,0,1,1,0,0,1,122
vatika city,1.0,sector 49,10578.0,9454.0,Super Built up area 1748.87(162.48 sq.m.)Built Up area: 1471.12 sq.ft. (136.67 sq.m.),3,3,1,7.0,South-West,Moderately Old,,1748.87,1471.12,,0,0,1,1,0,1,158
spaze privy,1.0,sector 72,9620.0,10395.0,Built Up area: 1975 (183.48 sq.m.),3,3,3,10.0,,Undefined,,,1975.0,,0,0,0,0,0,1,0
ss,1.0,sector 85,8222.0,12162.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3,6.0,West,Relatively New,,2408.0,2300.0,2200.0,0,0,0,0,0,1,42
the close south,3.0,sector 50,12444.0,24108.0,Super Built up area 2491(231.42 sq.m.)Built Up area: 2450 sq.ft. (227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,4.0,North-East,Moderately Old,,2491.0,2450.0,2250.0,0,1,0,0,0,2,165
antriksh heights,0.08,sector 84,4927.0,1624.0,Super Built up area 1725(160.26 sq.m.),3,3,3+,10.0,North,Relatively New,,1725.0,,,1,0,0,0,0,1,52
ireo victory valley,4.0,sector 67,14536.0,27518.0,Super Built up area 3130(290.79 sq.m.),4,4,3+,19.0,South,Relatively New,,3130.0,,,0,1,0,0,0,2,156
tulip violet,1.0,sector 69,9452.0,10580.0,Super Built up area 2010(186.74 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,6.0,West,Relatively New,,2010.0,,1500.0,0,0,1,0,0,1,174
breez global hill view,0.03,sohna road,5776.0,519.0,Carpet area: 554 (51.47 sq.m.),2,2,2,19.0,North,Relatively New,,,,554.0,0,0,0,0,0,2,21
kanchanjanga tower,1.0,sector 56,7631.0,13104.0,Super Built up area 1900(176.52 sq.m.),3,3,3+,2.0,North,Moderately Old,,1900.0,,,0,0,0,0,0,2,126
smart world gems,1.0,sector 89,8500.0,11765.0,Carpet area: 1326 (123.19 sq.m.),3,3,2,4.0,,Under Construction,,,,1326.0,1,0,0,0,0,1,115
tulip white,0.09,sector 69,6862.0,1312.0,Carpet area: 1326 (123.19 sq.m.),3,2,2,12.0,,Moderately Old,,,,1326.0,0,0,0,0,0,1,43
bptp park generations,1.0,sector 37d,9868.0,10134.0,Super Built up area 1520(141.21 sq.m.),3,2,3+,17.0,North-East,Relatively New,,1520.0,,,0,0,0,0,0,1,42
siddhartha apartment,1.0,sector 95,4327.0,23111.0,Carpet area: 2542 (236.16 sq.m.),4,3,3,9.0,North,Relatively New,,,,2542.0,0,1,0,0,1,1,22
independent,0.66,sector 7,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively New,house,,550.0,,0,0,0,0,1,1,22
m3m skywalk,2.0,sector 74,12500.0,16000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,5.0,North-East,Relatively New,,2000.0,1900.0,1800.0,1,0,0,0,0,1,174
indiabulls centrum park,1.0,sector 103,8580.0,11655.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,8.0,East,Relatively New,,1790.0,,1550.0,1,0,0,0,0,1,150
raheja vedaanta,0.09,sector 108,5214.0,1726.0,Super Built up area 1822(169.27 sq.m.),3,3,3,3.0,,Relatively New,,1822.0,,,0,0,0,0,1,1,95
m3m golf hills phase 1,1.0,sector 79,10828.0,9235.0,Built Up area: 1570 (145.86 sq.m.)Carpet area: 1099 sq.ft. (102.1 sq.m.),3,2,3,10.0,,Undefined,,,1570.0,1099.0,0,0,0,0,0,1,0
tulip lemon,0.06,sector 69,10000.0,600.0,Carpet area: 600 (55.74 sq.m.),2,1,1,12.0,,Relatively New,,,,600.0,0,0,0,0,0,1,23
smart world gems,1.0,sector 89,9033.0,11071.0,Carpet area: 1107 (102.84 sq.m.),2,2,2,1.0,,Under Construction,,,,1107.0,1,0,0,0,0,1,38
umang winter hills,1.0,sector 77,6340.0,15773.0,Built Up area: 1735 (161.19 sq.m.),3,3,3,10.0,North-East,Undefined,,,1735.0,,0,0,0,0,0,1,28
ansal heights 86,0.09,sector 86,5325.0,1690.0,Built Up area: 1690 (157.01 sq.m.),3,3,2,10.0,,New Property,,,1690.0,,0,0,0,0,0,1,29
la vida by tata housing,3.0,sector 113,13984.0,21453.0,Carpet area: 2660 (247.12 sq.m.),5,4,3+,0.0,,New Property,,,,2660.0,0,0,0,1,0,0,44
independent,8.0,sector 14,17707.0,4518.0,Plot area 502(419.74 sq.m.),12,4,3+,3.0,North,Old Property,house,,4518.0,,0,1,1,0,0,1,32
mrg world ultimus,0.05,sector 90,6983.0,716.0,Carpet area: 716 (66.52 sq.m.),2,2,2,1.0,North-East,Under Construction,,,,716.0,0,0,0,0,0,1,21
ats kocoon,2.0,sector 109,10023.0,19954.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,8.0,North-East,Relatively New,,2095.0,1860.0,,0,1,0,0,0,1,156
shapoorji pallonji joyville gurugram,1.0,sector 102,10638.0,9400.0,Super Built up area 1692(157.19 sq.m.),3,3,3,1.0,East,Relatively New,,1692.0,,,0,0,0,0,0,1,141
dlf the grove,5.0,sector 54,41245.0,12123.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,,1382.0,,0,0,0,0,0,1,46
emaar palm gardens,1.0,sector 83,9473.0,10556.0,Super Built up area 1900(176.52 sq.m.),3,3,3+,9.0,South,Relatively New,,1900.0,,,0,0,0,0,0,1,55
bptp terra,1.0,sector 37d,7530.0,13280.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,3,3+,6.0,West,Relatively New,,2191.0,2091.0,1991.0,0,0,0,0,0,2,149
signature global park,0.07,sohna road,7308.0,958.0,Super Built up area 1081(100.43 sq.m.),3,2,3+,4.0,,Under Construction,,1081.0,,,0,0,0,0,0,1,109
vatika gurgaon,1.0,sector 83,7812.0,12801.0,Super Built up area 2390(222.04 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3,12.0,South-West,Moderately Old,,2390.0,,1600.0,0,1,0,0,0,1,103
independent,5.5,sector 48,23504.0,2340.0,Plot area 260(217.39 sq.m.),4,4,2,2.0,North,Relatively New,house,,2340.0,,0,1,0,0,0,2,22
smartworld 1dxp,2.0,sector 113,10589.0,18888.0,Carpet area: 2597 (241.27 sq.m.),4,4,3+,20.0,East,Under Construction,,,,2597.0,1,1,0,1,0,0,57
emaar mgf marbella,11.0,sector 66,33951.0,3240.0,Plot area 360(301.01 sq.m.),5,6,3+,2.0,North-East,New Property,house,,3240.0,,1,1,1,1,0,2,153
chd avenue,1.0,sector 71,6526.0,15323.0,Super Built up area 1762(163.7 sq.m.)Carpet area: 1339 sq.ft. (124.4 sq.m.),3,3,2,15.0,East,Moderately Old,,1762.0,,1339.0,0,1,0,0,0,2,66
cloudnine cottages,5.5,sohna road road,55000.0,1000.0,Plot area 1000(92.9 sq.m.),3,3,0,1.0,,Moderately Old,house,,1000.0,,0,0,0,0,0,1,0
m3m skycity,3.0,sector 65,17039.0,17607.0,Carpet area: 2054 (190.82 sq.m.),3,3,3,15.0,East,New Property,,,,2054.0,1,1,0,1,0,2,166
emaar mgf the palm drive,3.0,sector 66,15909.0,18857.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2125 sq.ft. (197.42 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,7.0,North-East,Moderately Old,,2200.0,2125.0,2000.0,0,1,1,0,0,2,149
independent,2.25,sector 7,16892.0,1332.0,Built Up area: 148 (123.75 sq.m.),5,3,0,2.0,,Undefined,house,,148.0,,0,0,0,0,0,1,0
pareena coban residences,1.0,sector 99a,6510.0,15361.0,Built Up area: 1997 (185.53 sq.m.),3,3,0,16.0,,Undefined,,,1997.0,,0,0,0,0,0,1,0
signature global synera,0.04,sector 81,6666.0,600.0,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,5.0,South,Relatively New,,735.0,700.0,635.0,0,0,0,0,0,1,117
independent,0.32,sector 8,7111.0,450.0,Built Up area: 450 (41.81 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,3,1,1.0,North-East,Relatively New,house,,450.0,300.0,0,0,0,0,0,1,0
ss,2.0,sector 85,7716.0,25920.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7.0,North,Relatively New,,2812.0,2600.0,2400.0,1,1,0,1,0,1,49
vipul tatvam villa,8.5,sector 48,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3+,2.0,North,Moderately Old,house,,4000.0,,1,1,0,1,1,2,49
smart world gems,1.0,sector 89,8432.0,11860.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,2.0,North-East,New Property,,,,1423.0,0,0,0,0,0,1,44
ss the leaf,2.0,sector 85,7645.0,26161.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1.0,South,Relatively New,,2812.0,,,0,1,0,0,0,1,165
ramprastha the atrium,1.0,sector 37d,7782.0,12850.0,Super Built up area 1285(119.38 sq.m.),3,3,2,4.0,,Relatively New,,1285.0,,,0,0,0,0,0,1,13
krisumi waterfall residences,2.0,sector 36a,14874.0,13446.0,Super Built up area 1479(137.4 sq.m.),2,2,2,23.0,North,New Property,,1479.0,,,0,0,0,0,0,1,15
ss the leaf,1.0,sector 85,10888.0,9184.0,Super Built up area 1741(161.74 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,17.0,East,Relatively New,,1741.0,,1148.0,0,0,1,0,0,1,156
central park flower valley,1.0,sohna road road,17441.0,5734.0,Carpet area: 946 (87.89 sq.m.),3,3,0,1.0,,Undefined,,,,946.0,0,0,0,0,0,1,66
m3m heights,2.0,sector 65,15200.0,13158.0,Super Built up area 1828(169.83 sq.m.),3,3,3,44.0,,Undefined,,1828.0,,,0,0,0,0,0,1,56
rof ananda,0.02,sector 95,6578.0,304.0,Super Built up area 380(35.3 sq.m.),1,1,1,4.0,,New Property,,380.0,,,0,0,0,0,0,1,0
rof ananda,0.05,sector 95,8527.0,586.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14.0,East,New Property,,1000.0,,645.0,1,0,0,0,0,2,81
eldeco accolade,1.0,sohna road,6136.0,16297.0,Carpet area: 2200 (204.39 sq.m.),3,3,3,2.0,,New Property,,,,2200.0,0,1,0,0,0,1,72
ats tourmaline,2.0,sector 109,9365.0,21356.0,Super Built up area 3150(292.64 sq.m.),4,5,3+,10.0,North-East,Relatively New,,3150.0,,,0,1,0,0,0,1,101
paras dews,1.0,sector 106,6818.0,14667.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,9.0,North-East,Relatively New,,1760.0,1186.0,1130.0,0,1,0,0,0,1,174
signature global park,0.05,sohna road,6812.0,734.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,South,New Property,,,,822.0,0,0,0,0,0,1,81
signature global park,0.07,sohna road,6404.0,1093.0,Carpet area: 1210 (112.41 sq.m.),3,3,3,1.0,South-East,Relatively New,,,,1210.0,0,0,0,1,0,1,150
lotus homz,0.05,sector 111,14838.0,337.0,Carpet area: 336.96 (31.3 sq.m.),1,1,1,2.0,,Relatively New,,,,336.96,0,0,0,0,0,0,72
godrej,1.0,sector 79,8269.0,12093.0,Super Built up area 1572(146.04 sq.m.),2,2,3,3.0,North-East,New Property,,1572.0,,,1,0,0,0,0,1,49
dlf the skycourt,1.0,sector 86,8916.0,11216.0,Super Built up area 1929(179.21 sq.m.),3,3,1,8.0,North,Relatively New,,1929.0,,,0,0,0,0,1,2,49
signature global park,0.05,sohna road,7248.0,690.0,Carpet area: 745 (69.21 sq.m.),2,1,3,1.0,,New Property,,,,745.0,0,0,0,0,0,1,65
ansal sushant residency,1.0,sector 57,6775.0,14760.0,Carpet area: 246 (205.69 sq.m.),3,2,3+,1.0,,Moderately Old,,,,246.0,0,0,0,0,0,1,87
chd avenue,1.0,sector 71,6655.0,15026.0,Super Built up area 1743(161.93 sq.m.),3,3,3,5.0,South-West,Moderately Old,,1743.0,,,0,1,0,0,0,2,73
shapoorji pallonji joyville gurugram,1.0,sector 102,10041.0,9959.0,Super Built up area 1215(112.88 sq.m.),2,2,2,10.0,North,Relatively New,,1215.0,,,0,0,0,0,0,1,108
independent,2.15,sector 40,23889.0,900.0,Plot area 100(83.61 sq.m.),3,3,3,3.0,,Moderately Old,house,,900.0,,1,0,1,1,0,1,45
independent,1.7,sector 39,17980.0,945.0,Plot area 900(83.61 sq.m.),2,2,3+,3.0,,Moderately Old,house,,900.0,,0,1,1,0,0,1,45
godrej nature plus,1.0,sector 33,9025.0,11080.0,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,17.0,,Undefined,,,1385.0,1000.0,0,0,0,0,0,1,56
signature global the millennia 3,0.05,sector 37d,7142.0,700.0,Carpet area: 700 (65.03 sq.m.),3,3,2,2.0,,Under Construction,,,,700.0,0,0,0,0,0,1,31
vatika emilia floors,0.06,sector 83,6190.0,969.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2,2,2,1.0,South,Relatively New,,1050.0,950.0,850.0,0,0,0,0,0,2,174
international city by sobha phase 1,5.75,sector 109,16428.0,3500.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,2,3.0,South-East,Relatively New,house,,4800.0,3500.0,0,1,0,0,0,1,146
independent,0.5,sector 105,50000.0,100.0,Built Up area: 100 (9.29 sq.m.),2,2,0,1.0,,Undefined,house,,100.0,,0,0,0,0,0,1,0
signature global park 4,1.0,sector 36,9900.0,10101.0,Carpet area: 1010 (93.83 sq.m.),3,2,3,2.0,,New Property,,,,1010.0,0,0,0,0,0,1,128
independent,4.75,sector 57,28787.0,1650.0,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3,2.0,North-West,Moderately Old,house,,1700.0,1650.0,0,0,1,0,0,2,96
independent,0.55,sector 105,98214.0,56.0,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,,Undefined,house,,56.0,,0,0,0,0,0,1,0
sobha city,2.0,sector 108,14478.0,13814.0,Super Built up area 2003(186.08 sq.m.),3,4,2,8.0,East,New Property,,2003.0,,,0,0,0,0,0,1,109
bestech park view sanskruti,1.0,sector 92,8020.0,12469.0,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,4,3+,10.0,North-West,Relatively New,,1995.0,1615.0,1476.0,0,1,0,0,1,2,174
central park flower valley aqua front towers,1.0,sector 33,9502.0,10524.0,Super Built up area 1789(166.2 sq.m.),3,3,3,12.0,,Under Construction,,1789.0,,,0,0,0,0,0,1,24
irwo westend towers,0.06,sector 47,12059.0,498.0,Carpet area: 539 (50.07 sq.m.),1,1,2,3.0,,Old Property,,,,539.0,0,0,0,0,0,1,56
ats tourmaline,1.87,sector 109,8697.0,2150.0,Built Up area: 2150 (199.74 sq.m.),3,4,0,12.0,,Undefined,house,,2150.0,,0,0,0,0,0,1,0
