society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
parkwood westend,0.07,sector 92,520.0,2,2,3,5.0,Under Construction,flat,1217.0,1,0,0,0,0,1,0
tulip violet,1.0,sector 69,841.0,4,4,1,12.0,Relatively New,flat,1783.0,0,0,0,1,0,1,102
pivotal devaan,0.04,sector 84,703.0,2,2,2,10.0,New Property,flat,565.0,0,0,0,0,0,2,23
raheja teachers apartments,1.0,sector 31,727.0,3,2,2,1.0,Moderately Old,flat,1450.0,0,0,0,0,1,0,105
signature global park,0.05,sohna road,705.0,2,2,2,3.0,Relatively New,flat,822.0,0,0,0,0,0,1,58
huda ashok vihar phase,0.7,sector 4,10234.0,3,2,1,2.0,New Property,house,684.0,1,0,0,0,0,1,7
bptp freedom park life,5.0,sector 57,898.0,5,6,3+,19.0,Moderately Old,flat,5010.0,0,1,0,1,0,2,153
tulip violet,1.0,sector 69,889.0,3,3,2,1.0,Relatively New,flat,1455.0,0,0,0,1,0,1,86
puri diplomatic greens,3.0,sector 111,1186.0,4,5,3+,10.0,Relatively New,flat,2700.0,0,1,0,0,0,2,49
independent,0.85,sector 4,7522.0,3,3,0,1.0,Moderately Old,house,1130.0,0,0,0,0,0,1,0
ss the leaf,1.0,sector 85,739.0,3,4,3+,6.0,New Property,flat,2179.0,0,0,1,0,0,1,113
oriental valley chs,1.0,sector 9a,811.0,4,3,3+,8.0,Moderately Old,flat,2056.0,0,0,0,0,0,1,35
unitech uniworld resorts,9.5,sector 33,23336.0,5,7,3+,2.0,Under Construction,house,4071.0,1,1,1,1,0,1,57
m3m woodshire,0.09,sector 107,659.0,2,2,3+,14.0,New Property,flat,1236.0,0,0,0,0,0,1,67
krrish florence estate,1.0,sector 70,560.0,3,3,3,17.0,Under Construction,flat,1865.0,0,0,0,0,0,2,61
