sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
78.0,3,3,2.0,3.0,0.0,1510.0,0,0,1,2.0,1.0,1.0
105.0,3,2,2.0,3.0,0.0,1131.0,0,0,1,1.0,1.0,0.05
72.0,2,3,4.0,4.0,0.0,997.0,0,0,1,1.0,2.0,2.0
35.0,3,2,1.0,3.0,0.0,1000.0,0,0,1,0.0,2.0,0.04
95.0,3,3,2.0,3.0,0.0,1778.0,1,0,2,0.0,2.0,1.0
6.0,3,4,4.0,3.0,0.0,2072.0,1,0,1,1.0,2.0,2.0
86.0,2,2,2.0,4.0,0.0,823.0,0,0,1,0.0,2.0,0.05
93.0,2,2,2.0,3.0,0.0,1175.0,0,0,2,1.0,1.0,0.07
81.0,4,4,4.0,0.0,1.0,2610.0,1,1,1,1.0,2.0,4.6
93.0,3,3,3.0,3.0,0.0,1800.0,0,0,2,2.0,2.0,1.0
14.0,2,2,1.0,1.0,0.0,556.0,0,0,2,0.0,1.0,0.02
14.0,4,4,4.0,3.0,0.0,2350.0,1,0,1,2.0,1.0,2.0
80.0,3,2,2.0,3.0,0.0,1350.0,0,0,1,0.0,2.0,1.0
71.0,3,3,2.0,1.0,1.0,2385.0,0,0,1,0.0,1.0,1.5
61.0,4,4,3.0,1.0,1.0,2844.0,1,0,1,1.0,2.0,3.51
43.0,3,4,3.0,3.0,0.0,1899.0,1,0,1,0.0,2.0,1.0
103.0,4,4,4.0,3.0,0.0,2512.0,1,1,2,2.0,0.0,1.0
5.0,2,2,3.0,3.0,0.0,1080.0,0,0,2,2.0,2.0,1.0
97.0,3,4,2.0,3.0,0.0,1650.0,1,0,1,0.0,2.0,1.0
63.0,3,3,3.0,2.0,0.0,1810.0,1,0,2,1.0,2.0,1.0
39.0,3,3,4.0,1.0,0.0,1619.0,0,0,1,0.0,2.0,2.0
50.0,4,5,2.0,3.0,0.0,2661.0,1,0,1,0.0,2.0,6.0
24.0,4,4,4.0,2.0,1.0,3500.0,1,1,1,0.0,1.0,6.95
73.0,3,3,3.0,3.0,0.0,1833.0,1,0,2,1.0,1.0,2.0
59.0,3,3,3.0,1.0,1.0,1800.0,1,0,2,0.0,2.0,2.25
2.0,3,3,4.0,0.0,0.0,1900.0,1,0,1,0.0,2.0,0.09
47.0,3,3,1.0,3.0,1.0,13500.0,0,0,1,0.0,1.0,0.85
98.0,2,2,1.0,3.0,0.0,1231.0,0,0,1,1.0,2.0,0.06
50.0,3,3,2.0,3.0,1.0,2700.0,1,0,2,0.0,2.0,8.49
11.0,3,4,3.0,3.0,0.0,1896.0,1,0,1,1.0,2.0,2.0
46.0,10,11,4.0,3.0,1.0,7000.0,0,0,0,0.0,2.0,7.0
9.0,3,2,2.0,3.0,0.0,717.0,0,0,1,0.0,2.0,0.05
87.0,2,2,2.0,3.0,0.0,1140.0,0,1,2,1.0,2.0,0.07
62.0,3,3,4.0,2.0,1.0,2160.0,1,1,2,0.0,1.0,4.6
103.0,2,2,1.0,1.0,0.0,575.0,0,0,1,0.0,2.0,0.04
60.0,3,4,4.0,0.0,0.0,2217.0,1,0,2,0.0,2.0,6.0
97.0,2,3,3.0,3.0,0.0,1420.0,0,0,2,2.0,0.0,1.0
98.0,3,4,3.0,3.0,0.0,1339.0,0,0,1,0.0,1.0,1.0
80.0,4,5,4.0,0.0,0.0,2114.0,1,0,2,1.0,2.0,2.0
44.0,3,3,4.0,1.0,0.0,1983.0,0,0,2,0.0,0.0,1.0
82.0,1,1,2.0,3.0,0.0,450.0,0,0,1,1.0,1.0,0.03
75.0,4,4,4.0,0.0,0.0,2127.0,1,0,2,1.0,2.0,2.0
69.0,3,3,1.0,4.0,0.0,1549.0,0,0,1,1.0,1.0,2.0
29.0,4,4,3.0,2.0,1.0,1070.0,0,0,1,0.0,2.0,3.25
39.0,3,2,4.0,4.0,0.0,1333.0,0,0,1,1.0,0.0,1.0
65.0,3,4,1.0,0.0,0.0,17084.0,1,0,2,2.0,0.0,3.0
57.0,3,3,4.0,0.0,0.0,1790.0,0,0,2,2.0,0.0,1.0
5.0,2,3,3.0,3.0,0.0,1257.0,1,0,2,1.0,1.0,0.08
0.0,3,3,0.0,4.0,0.0,1758.0,0,0,1,0.0,1.0,1.0
54.0,4,5,4.0,0.0,0.0,4120.0,0,0,2,1.0,0.0,4.0
70.0,4,4,4.0,3.0,0.0,4200.0,1,0,2,1.0,0.0,7.0
39.0,3,3,2.0,4.0,0.0,2093.0,0,0,1,1.0,1.0,2.0
97.0,2,2,3.0,4.0,0.0,1130.0,0,0,1,1.0,0.0,1.0
43.0,3,3,0.0,1.0,0.0,1820.0,0,0,1,1.0,1.0,1.0
78.0,3,3,2.0,3.0,0.0,1428.0,0,0,1,1.0,2.0,1.0
89.0,2,2,3.0,1.0,0.0,1385.0,0,0,1,0.0,2.0,0.09
9.0,2,2,2.0,3.0,0.0,608.0,0,0,1,0.0,2.0,0.03
9.0,2,2,1.0,3.0,0.0,598.0,0,0,1,0.0,2.0,0.03
28.0,4,4,3.0,3.0,1.0,2500.0,1,0,2,0.0,1.0,2.9
101.0,3,3,3.0,1.0,0.0,1774.0,0,0,1,1.0,2.0,1.0
74.0,2,2,3.0,3.0,0.0,1082.0,0,0,1,1.0,2.0,1.0
87.0,3,3,3.0,3.0,0.0,1602.0,0,0,2,0.0,0.0,0.09
55.0,3,4,3.0,3.0,0.0,2061.0,0,0,1,0.0,1.0,2.0
43.0,3,3,3.0,3.0,0.0,1595.0,0,0,1,0.0,1.0,1.0
82.0,4,4,3.0,0.0,0.0,2127.0,1,0,1,1.0,2.0,1.0
80.0,3,4,2.0,4.0,0.0,1416.0,0,0,1,0.0,0.0,0.09
8.0,3,4,4.0,3.0,0.0,1186.0,1,0,2,2.0,2.0,1.0
57.0,3,3,4.0,0.0,0.0,2600.0,1,0,2,2.0,2.0,2.0
31.0,4,4,3.0,2.0,1.0,1265.0,0,0,1,0.0,2.0,4.45
78.0,3,3,1.0,3.0,0.0,1419.0,0,0,1,1.0,0.0,1.0
101.0,3,2,3.0,0.0,0.0,1403.0,0,1,2,1.0,2.0,1.0
43.0,2,2,1.0,3.0,0.0,850.0,0,0,2,2.0,2.0,0.03
101.0,2,2,2.0,4.0,0.0,1441.0,0,0,1,0.0,2.0,0.08
89.0,3,4,4.0,3.0,0.0,2629.0,1,0,2,2.0,1.0,2.0
8.0,2,2,4.0,3.0,0.0,940.0,0,0,1,0.0,1.0,0.09
9.0,3,2,2.0,3.0,0.0,750.0,0,0,1,1.0,2.0,0.06
43.0,3,3,3.0,3.0,0.0,1563.0,0,0,1,0.0,1.0,1.0
26.0,5,5,2.0,2.0,0.0,2400.0,1,1,2,0.0,1.0,1.0
4.0,3,3,4.0,3.0,0.0,2222.0,1,0,2,1.0,2.0,1.0
99.0,3,3,4.0,1.0,0.0,1306.0,0,0,1,1.0,2.0,1.0
11.0,3,3,4.0,0.0,0.0,2303.0,1,0,1,1.0,2.0,1.0
41.0,1,1,1.0,3.0,0.0,452.0,0,0,1,0.0,2.0,0.04
103.0,4,4,4.0,0.0,0.0,2468.0,0,0,1,1.0,2.0,1.0
